unit_id,id,country,city,airline,text
681448150,1575073003,IND,Hyderabad,Virgin America,@VirginAmerica What @dhepburn said.
681448153,1574913129,ITA,Bastia,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.
681448156,1575294850,HUN,Budapest,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!
681448158,1574982445,VEN,,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
681448159,1575113792,MEX,San Nicolás De Los Garza,Virgin America,@VirginAmerica and it's a really big bad thing about it
681448162,1575262718,IND,,Virgin America,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
681448165,1575217668,ESP,Mora,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
681448167,1574935772,USA,Reno,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
681448169,1575255039,SRB,,Virgin America,"@virginamerica Well, I didn't…but NOW I DO! :-D"
681448171,1575042329,ESP,Zaragoza,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
681448174,1575233829,EGY,,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
681448176,1574914229,GBR,London,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
681448178,1574937875,ESP,,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
681448181,1575076786,VNM,Nguyên,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
681448182,1575189637,RUS,Saint Petersburg,Virgin America,@VirginAmerica Thanks!
681448184,1574959763,HRV,,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.
681448186,1574900379,CHL,Santiago,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
681448188,1575245109,BIH,Sarajevo,Virgin America,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
681448190,1575281685,USA,Mount Vernon,Virgin America,I ❤️ flying @VirginAmerica. ☺️👍
681448192,1575072688,ESP,Zaragoza,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
681448194,1574995626,PHL,Mandaluyong,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
681448197,1574951614,TUR,Istanbul,Virgin America,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
681448199,1575002934,SGP,Singapore,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.
681448201,1575290008,IND,Udupi,Virgin America,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
681448204,1575111942,IND,Mumbai,Virgin America,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
681448206,1575074446,ARE,Abu Dhabi,Virgin America,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
681448208,1574923091,SGP,Singapore,Virgin America,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
681448211,1574855234,CAN,Vancouver,Virgin America,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
681448213,1575238871,IND,Bokaro,Virgin America,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
681448214,1575265270,BIH,Doboj,Virgin America,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
681448218,1574969539,GBR,London,Virgin America,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during booking 😢"
681448221,1574970575,GBR,London,Virgin America,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
681448223,1574922593,IND,Chennai,Virgin America,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
681448225,1574950371,ROU,Cluj-napoca,Virgin America,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
681448228,1574837627,SRB,,Virgin America,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
681448230,1574935613,ESP,,Virgin America,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
681448235,1574867500,CAN,Ajax,Virgin America,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
681448239,1575141163,PHL,San Antonio,Virgin America,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
681448241,1575082945,IDN,Malang,Virgin America,@VirginAmerica when can I book my flight to Hawaii??
681448243,1575266217,PRT,Vila Nova De Gaia,Virgin America,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
681448245,1574841394,GBR,Sheffield,Virgin America,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
681448247,1575054549,VNM,Hanoi,Virgin America,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
681448249,1575142895,MYS,Petaling Jaya,Virgin America,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
681448251,1575146328,HRV,Split,Virgin America,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
681448254,1575192129,JPN,,Virgin America,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
681448256,1575109064,IDN,Malang,Virgin America,@VirginAmerica I'm #elevategold for a good reason: you rock!!
681448258,1575116644,IND,Hyderabad,Virgin America,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
681448260,1575169148,IND,Alibag,Virgin America,@VirginAmerica wow this just blew my mind
681448262,1575154488,USA,Dallas,Virgin America,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
681448264,1574994163,ITA,Rome,Virgin America,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
681448265,1575001203,SGP,Singapore,Virgin America,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
681448267,1575210379,VNM,Hue,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
681448269,1575162813,HRV,Vinkovci,Virgin America,@VirginAmerica wish you flew out of Atlanta... Soon?
681448271,1575156536,USA,Dallas,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
681448273,1575151944,IND,Hyderabad,Virgin America,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
681448275,1575261646,GBR,,Virgin America,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
681448278,1574964696,HRV,,Virgin America,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
681448280,1574830826,MAR,Rabat,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
681448282,1575145329,PHL,Manila,Virgin America,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
681448284,1575164309,NLD,Meppel,Virgin America,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
681448288,1575084945,DEU,Oldenburg,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
681448290,1575274881,ITA,Modugno,Virgin America,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
681448292,1575197531,MEX,Tijuana,Virgin America,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
681448295,1575169405,NLD,Meppel,Virgin America,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
681448297,1575119988,MEX,San Nicolás De Los Garza,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
681448299,1575220889,BIH,Doboj,Virgin America,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
681448302,1574832608,GBR,Hull,Virgin America,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
681448303,1575084932,DEU,Oldenburg,Virgin America,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
681448306,1574934160,SGP,Singapore,Virgin America,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
681448308,1575000828,PHL,,Virgin America,@VirginAmerica everything was fine until you lost my bag
681448310,1574899422,ESP,,Virgin America,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
681448312,1575167629,NLD,Meppel,Virgin America,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
681448314,1575252043,IND,Hyderabad,Virgin America,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
681448317,1575169406,NLD,Meppel,Virgin America,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
681448319,1575131650,SRB,Belgrade,Virgin America,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
681448320,1574938911,CAN,Sudbury,Virgin America,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
681448321,1574846603,BIH,Banja Luka,Virgin America,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
681448322,1574890327,PER,Lima,Virgin America,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
681448324,1575063189,VEN,Barquisimeto,Virgin America,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
681448326,1574985734,PHL,,Virgin America,@VirginAmerica what happened to Doom?!
681448329,1575171973,NLD,Meppel,Virgin America,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
681448331,1574858854,USA,Reno,Virgin America,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
681448334,1575045127,VNM,Hanoi,Virgin America,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and late :(
681448336,1575290178,IND,Hyderabad,Virgin America,@VirginAmerica I have no interesting flying with you after this. I will cancel my next four flights I planned.#neverflyvirginforbusiness
681448338,1574955371,BEL,Brussels,Virgin America,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
681448340,1575125643,IND,,Virgin America,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
681448342,1575221584,ESP,Mora,Virgin America,@VirginAmerica Can't bring up my reservation online using booking code
681448345,1575029474,CAN,Burlington,Virgin America,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
681448347,1575233000,HRV,,Virgin America,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
681448349,1574987224,ISR,Tel Aviv,Virgin America,@VirginAmerica Why is the site down?  When will it be back up?
681448353,1575144106,VNM,Hanoi,Virgin America,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
681448355,1575191887,PHL,,Virgin America,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
681448358,1575287071,IND,Udupi,Virgin America,@VirginAmerica I like the TV and interesting video . Just disappointed in cancelled flight when other flights went out to jfk on Saturday .
681448360,1575006231,ITA,Rome,Virgin America,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no late bag check is not business travel friendly #nomorevirgin"
681448362,1575176927,AUS,Sydney,Virgin America,@VirginAmerica why is flight 345 redirected?
681448364,1574995051,IND,Chennai,Virgin America,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
681448366,1575270753,PAK,Karachi,Virgin America,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
681448369,1574942346,HRV,,Virgin America,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
681448371,1575230543,HRV,,Virgin America,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
681448373,1574924867,PER,Lima,Virgin America,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
681448376,1574839810,BIH,Banja Luka,Virgin America,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
681448377,1575079877,IDN,Jakarta,Virgin America,@VirginAmerica why must a traveler miss a flight to late check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
681448379,1574975266,VEN,Caracas,Virgin America,@VirginAmerica check out new music http://t.co/maRcnOCWzn
681448382,1575167474,IND,Mumbai,Virgin America,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
681448383,1575215204,IDN,Bandung,Virgin America,@VirginAmerica your no late bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
681448385,1575020182,CHE,,Virgin America,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
681448387,1575242020,ITA,Modugno,Virgin America,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
681448389,1575197328,VNM,Hanoi,Virgin America,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
681448391,1574892575,PER,Lima,Virgin America,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
681448393,1575063182,CAN,Vancouver,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
681448395,1574918086,ESP,,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
681448397,1575222351,ESP,Mora,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
681448400,1574921081,FRA,La Madeleine,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
681448402,1575261649,GBR,,Virgin America,@VirginAmerica Have a great week 🌞✈
681448404,1575120336,IND,Chennai,Virgin America,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
681448406,1575007701,PHL,Cebu,Virgin America,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
681448408,1575274323,HKG,Ma On Shan,Virgin America,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
681448410,1575298947,POL,Warsaw,Virgin America,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
681448413,1575278415,USA,Baltimore,Virgin America,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
681448415,1575134134,MEX,San Nicolás De Los Garza,Virgin America,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
681448419,1575208259,ESP,Mora,Virgin America,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
681448421,1575149988,HRV,Split,Virgin America,"@VirginAmerica And now the flight booking site is totally down. Folks, what is the problem?"
681448423,1574897072,BIH,Sarajevo,Virgin America,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
681448426,1574952482,ESP,Las Torres De Cotillas,Virgin America,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
681448429,1574857097,SRB,,Virgin America,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
681448431,1575055219,VNM,Hanoi,Virgin America,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
681448432,1574919412,ROU,Cluj-napoca,Virgin America,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
681448433,1574959768,PHL,Mandaluyong,Virgin America,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
681448435,1575017363,CAN,Toronto,Virgin America,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
681448437,1575267661,IDN,Jakarta,Virgin America,@VirginAmerica is flight 882 cancelled and what do I do if it is?
681448440,1574897549,CHL,Santiago,Virgin America,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
681448442,1575217674,ESP,Mora,Virgin America,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
681448444,1575192620,VNM,Hanoi,Virgin America,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
681448446,1575276337,VNM,Hue,Virgin America,@VirginAmerica @ChrysiChrysic your assistance yesterday when u cancelled our flight was to give us a hotel hotline  Shame on you!
681448448,1574860268,URY,Montevideo,Virgin America,@VirginAmerica Another delayed flight? #likingyoulessandless
681448451,1574848471,SRB,,Virgin America,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
681448453,1575079565,VEN,,Virgin America,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
681448455,1574858862,GBR,Sheffield,Virgin America,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
681448457,1575293836,HUN,Budapest,Virgin America,@VirginAmerica always!!! Xoxo
681448459,1574916040,ESP,,Virgin America,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
681448461,1574922446,IDN,Jakarta,Virgin America,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
681448464,1575284986,VNM,Hue,Virgin America,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
681448466,1575222358,ESP,Mora,Virgin America,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
681448468,1575267656,IDN,Jakarta,Virgin America,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
681448470,1575144299,MYS,Petaling Jaya,Virgin America,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
681448471,1575074438,ARE,Abu Dhabi,Virgin America,"@VirginAmerica I paid the premium to fly you across the country, you cancel my flight and offer no check fee or upgrade love? Sad face :("
681448474,1575283570,ITA,Grumo Appula,Virgin America,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
681448476,1575094150,VEN,,Virgin America,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
681448478,1574850017,CAN,Vancouver,Virgin America,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
681448480,1575180015,ESP,Sevilla,Virgin America,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
681448484,1575145896,MEX,San Nicolás De Los Garza,Virgin America,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
681448487,1574938771,ESP,,Virgin America,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
