,text,polarity
1,whatsaid,neutral
2,plus youve added commercials to the experience tacky,positive
3,i didnt today must mean i need to take another trip,negative
4,its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,negative
5,and its a really big bad thing about it,negative
6,"seriously would paya flight for seats that didnt have this playing
its really the only bad thing about flying va",negative
7,yes nearly every time i fly vx this ' ear worm'  won' t go away,positive
8,really missed a prime opportunity for men without hats parody there,neutral
9,well i didnt'but now i do d,positive
10,it was amazing and arrived an hour early youre too good to me,positive
11,did you know that suicide is the second leading cause of death among teens,negative
12,i lt pretty graphics so much better than minimal iconography d,positive
13,this is such a great deal already thinking about my nd trip toamp i havent even gone on my st trip yet p,positive
14,im flying your fabulous seductive skies again u take all the stress away from travel,neutral
15,thanks,neutral
16,sfopdx schedule is still mia,neutral
17,so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america daystogo,negative
18,i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help,positive
19,i 'ï  flying'ï 'ÿ  ,neutral
20,you know what would be amazingly awesome bosfll please i want to fly with only you,positive
21,why are your first fares in may over three times more than other carriers when all seats are available to select,positive
22,i love this graphic,positive
23,i love the hipster innovation you are a feel good brand,positive
24,will you be making bosgtlas non stop permanently anytime soon,positive
25,you guys messed up my seating i reserved seating with my friends and you guys gave my seat away'ÿ  i want free internet,positive
26,status match programi applied and its been three weekscalled and emailed with no response,positive
27,what happenedur vegan food options at least say on ur site so i know i wont be ableeat anything for nexthrs fail,negative
28,do you miss me dont worry well be together very soon,neutral
29,amazing to me that we cant get any cold air from the vents vx noair worstflightever roasted sfotobos,negative
30,lax to ewrmiddle seat on a red eye such a noob maneuver sendambien andchexmix,negative
31,hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during booking 'ÿ ,positive
32,are the hours of operation for the club at sfo that are posted online current,neutral
33,help left expensive headphones on flightiad to lax today seat a no one answering lampf number at lax,negative
34,awaiting my return phone call just would prefer to use your online selfservice option,neutral
35,this is great newsamerica could start flights to hawaii by end of year,positive
